257,1,2,1,1,1,2,2,2,1
258,1,2,1,1,1,2,2,2,1
259,2,2,1,1,1,2,2,2,1
260,2,2,1,1,3,2,2,2,1
261,1,4,1,6,2,2,2,2,1
262,1,2,1,9,2,2,2,2,1
263,1,2,1,9,2,2,2,2,1
264,1,2,1,1,1,2,2,2,1
265,1,2,1,1,1,2,2,2,1
266,2,2,1,1,1,2,2,2,1
267,2,2,1,1,1,2,2,2,1
268,1,6,1,1,3,2,2,2,1
269,1,6,1,1,3,2,2,2,1
270,1,2,1,8,1,2,2,2,1
271,1,2,1,1,1,2,2,3,1
272,1,2,1,1,1,2,2,3,1
273,1,5,1,1,2,2,2,1,1
274,1,3,1,1,1,2,2,3,1
275,1,2,1,1,1,2,2,1,1
276,1,9,1,1,1,2,2,2,1
277,1,8,1,1,3,2,2,2,1
278,2,5,1,1,3,2,2,2,1
279,2,9,2,1,1,2,2,5,1
280,2,2,2,2,2,1,1,2,1
281,2,5,1,1,3,2,2,2,1
282,2,4,1,12,2,2,2,2,1
283,2,2,1,2,2,1,1,2,1
284,2,5,1,1,3,1,2,2,1
285,2,4,1,5,2,2,2,2,1
286,2,5,1,1,3,2,2,2,1
287,2,2,1,1,2,1,1,2,1
288,1,4,1,5,2,2,2,2,1
289,1,5,1,1,3,2,2,2,1
290,1,1,1,1,1,1,1,2,1
291,2,2,1,2,2,2,2,3,1
292,2,2,1,1,1,2,2,2,1
293,2,2,1,1,1,2,2,3,1
294,2,2,1,2,2,2,2,3,1
295,2,2,1,1,2,1,2,2,1
296,2,2,1,1,3,2,2,2,1
297,1,2,2,1,1,1,1,2,1
298,2,4,1,5,2,2,2,2,1
299,1,7,1,1,1,1,1,3,1
300,2,4,1,5,2,2,2,2,1
301,1,5,1,1,3,1,2,2,1
302,1,2,1,2,2,1,1,2,1
303,2,5,1,1,3,2,2,2,1
304,2,2,1,1,1,1,1,2,1
305,2,4,1,6,2,2,2,2,1
306,2,3,1,1,1,1,1,3,1
307,2,8,1,1,3,1,2,2,1
308,2,7,1,1,3,1,2,2,1
309,2,4,1,5,2,2,2,1,1
310,2,1,1,3,2,2,2,2,1
311,2,2,1,5,2,2,2,2,1
312,2,1,1,5,2,2,2,2,1
313,2,4,1,5,2,2,2,2,1
314,2,7,2,1,1,2,2,2,1
315,2,6,1,1,1,2,2,2,1
316,2,1,2,1,3,2,2,2,1
317,2,2,2,1,1,2,2,2,1
318,2,2,1,1,1,2,2,1,1
319,2,5,1,1,3,1,1,3,1
320,1,5,1,1,3,2,2,2,1
321,1,2,1,2,2,2,2,2,1
322,2,2,1,2,2,1,2,2,1
323,2,7,1,1,3,1,2,2,1
324,2,9,1,1,1,1,2,2,1
325,2,2,1,8,2,2,2,2,1
326,2,2,1,2,2,2,2,3,1
327,2,4,1,6,2,2,2,2,1
328,2,5,1,1,3,2,2,2,1
329,2,7,1,1,1,2,2,1,1
330,2,3,2,1,1,2,2,2,1
331,2,3,1,1,1,2,2,1,1
332,2,7,1,6,2,2,2,1,1
333,2,3,1,1,1,2,2,1,1
334,2,2,1,2,2,2,2,1,1
335,2,7,2,1,1,1,1,1,1
336,2,7,1,1,1,1,1,1,1
337,2,5,2,1,1,2,2,2,1
338,2,7,1,7,2,2,2,1,1
339,2,9,2,1,1,2,2,2,1
340,2,7,2,1,1,2,2,2,1
341,2,7,1,1,1,2,2,1,1
342,2,9,2,1,1,2,2,2,1
343,2,7,1,1,1,2,2,1,1
344,2,7,2,1,1,2,2,2,1
345,2,7,1,1,1,2,2,1,1
346,1,5,3,1,3,2,2,2,1
347,2,5,1,1,3,2,2,1,1
348,2,5,1,1,3,1,2,2,1
349,2,2,1,1,3,1,2,2,1
350,2,7,2,1,1,2,2,2,1
351,2,9,2,1,1,2,2,2,1
352,2,7,1,1,1,2,2,1,1
353,1,2,1,2,2,2,2,1,1
354,1,9,2,1,1,2,2,2,1
355,2,9,2,1,1,2,2,2,1
356,2,3,2,1,1,2,2,2,1
357,2,3,1,1,1,2,2,1,1
358,1,9,2,1,1,2,2,2,1
359,1,9,1,1,1,2,2,1,1
360,2,7,2,1,1,2,2,2,1
361,2,9,2,1,1,2,2,3,1
362,2,3,1,1,1,2,2,1,1
363,2,7,2,1,1,2,2,2,1
364,2,7,2,1,1,2,2,2,1
365,2,7,1,1,1,2,2,1,1
366,2,4,1,6,2,2,2,1,1
367,2,6,2,1,1,2,2,2,2
368,2,9,2,1,1,2,2,2,2
369,2,9,2,1,1,2,2,2,2
370,1,9,2,1,1,2,2,2,2
371,2,2,2,2,2,2,2,2,2
372,2,7,2,1,1,2,2,2,2
373,1,7,2,1,1,2,2,2,2
374,2,7,2,1,1,2,2,2,2
375,2,7,2,1,1,2,2,2,2
376,2,9,2,1,1,2,2,2,2
377,2,7,2,1,1,2,2,2,2
378,1,9,2,1,1,2,2,2,2
379,2,9,2,1,1,2,2,2,2
380,2,7,2,1,1,2,2,2,2
381,1,9,2,1,1,2,2,2,2
382,2,7,2,1,1,2,2,2,2
383,2,7,2,1,1,2,2,2,2
384,2,9,2,1,1,2,2,2,2
385,2,3,2,1,1,2,2,2,2
386,2,7,2,1,1,2,2,2,2
387,2,9,2,1,1,2,2,2,2
388,2,7,3,1,1,2,2,4,2
389,2,9,2,1,1,2,2,2,2
390,2,9,2,1,1,2,2,2,2
391,2,2,2,2,2,2,2,2,2
392,2,2,2,2,2,1,2,3,2
393,2,9,2,1,1,2,2,2,2
394,2,5,2,1,3,1,1,2,2
